dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std
0.0,0.01,0.02,1.0912286022610482,0.06006320067214611,1.222010611690077,0.06034097203782358
0.02,0.03,0.04,1.0776275128468655,0.056816243697623045,1.2488834481196194,0.056839100519117475
0.04,0.05,0.06,1.0978605061664952,0.05883604878610013,1.2393467580425919,0.058005355582510465
0.06,0.07,0.08,1.106466194758479,0.05932980991164128,1.1600913230629812,0.04595430597839052
0.08,0.09,0.1,1.0787756757451181,0.05218193303571249,1.1697343362029904,0.04578868803090922
0.1,0.11,0.12,1.0422275847893114,0.04574845008701302,1.1476411304938832,0.04099891503286393
0.12,0.13,0.14,1.0593824717368963,0.046617084129398266,1.1749426008155868,0.04531871417418959
0.14,0.15000000000000002,0.16,1.09804700668037,0.04886295663637183,1.1623143905754416,0.04141911673307527
0.16,0.16999999999999998,0.18,1.1083435714285717,0.051439690967143896,1.1258247689170822,0.0415561056449332
0.18,0.19,0.2,1.069559617163412,0.04604057520341801,1.0545740530131402,0.03126696890977986
0.2,0.21000000000000002,0.22,1.071982081192189,0.04150251337315744,1.0665292999546896,0.03436549383522202
0.22,0.22999999999999998,0.24,1.1700655010277494,0.059682148132203384,1.0692299048482103,0.037508328497363456
0.24,0.25,0.26,1.0746872661870503,0.040154917136489866,1.128967648391482,0.04989832169901011
0.26,0.27,0.28,1.0794767805755394,0.04121898408615396,1.0844374082464885,0.04032451508773628
0.28,0.29000000000000004,0.3,1.0915033633093525,0.04499047484005488,1.097642702763933,0.041517450814221174
0.3,0.31,0.32,1.0618875847893112,0.044989650592211335,1.0739228273674672,0.03872657696177015
0.32,0.33,0.34,1.0459087204522095,0.03807967032381355,1.0561568146805618,0.0379419628108131
0.34,0.35,0.36,1.0583486022610482,0.04501768514958302,1.0658583892161306,0.040140607418186765
0.36,0.37,0.38,1.1170784095580677,0.0529566890691744,1.03620331445401,0.038147817897906854
0.38,0.39,0.4,1.0301839619732784,0.03923050745107368,1.0758653307657453,0.044398867562869114
0.4,0.41000000000000003,0.42,1.0724848175745119,0.051973192987380325,1.0626200611690075,0.045306111260886295
0.42,0.43,0.44,1.1023715339157245,0.056019907673933694,0.9873194109651111,0.03985367965056019
0.44,0.45,0.46,1.0186800847893114,0.04301766363632612,1.0087219506116902,0.043220324565952525
0.46,0.47,0.48,1.0091520657759507,0.048618598950754904,1.0130958631626643,0.04237821888385098
0.48,0.49,0.5,1.0074757785200414,0.050958388542703084,1.0042694064340736,0.04273654383059046
0.5,0.51,0.52,0.9978188463514902,0.045499513645252315,0.9704880040779339,0.04009573642305364
0.52,0.53,0.54,1.0068451618705034,0.05033814655715411,0.9456434277299502,0.03687055315552909
0.54,0.55,0.56,1.0022103417266186,0.05077307459355942,1.0095450158586317,0.04710031530076432
0.56,0.5700000000000001,0.58,0.9988636562178829,0.04753484735745297,0.9939313253285003,0.04187745141358774
0.58,0.59,0.6,0.9885379753340185,0.05337309844780998,1.0256185410058902,0.04977003704048178
0.6,0.61,0.62,0.9710740313463515,0.0553664027681207,0.9986660512007248,0.04852240580362717
0.62,0.63,0.64,0.9277118910585818,0.04719977482037903,0.9118384322609876,0.041898392782436164
0.64,0.65,0.66,0.9462257297019527,0.04915737709624865,0.8892997757136385,0.04230561650331773
0.66,0.67,0.68,0.9275792574511819,0.04673640325291834,0.8831406116900771,0.04333744117721014
0.68,0.6900000000000001,0.7000000000000001,0.9571127723535457,0.054581442815211635,0.8452072315360218,0.044149867672306185
0.7000000000000001,0.71,0.72,0.8677007014388489,0.04764367608404504,0.9058863955595831,0.0474198523790548
0.72,0.73,0.74,0.91010394655704,0.05280994903923161,0.8710350181241505,0.04083391468768504
0.74,0.75,0.76,0.9084106526207605,0.051218693350119505,0.8818257634798368,0.04785005748600307
0.76,0.77,0.78,0.8593131783144912,0.05220472240288719,0.9101286769370186,0.04875177029329123
0.78,0.79,0.8,0.8847056885919836,0.06614433215113792,0.8623326506570005,0.04232217272546063
0.8,0.81,0.8200000000000001,0.8137702004110996,0.048329955055956164,0.8647856388763028,0.04590453764982719
0.8200000000000001,0.8300000000000001,0.84,0.845454894655704,0.04877525481653022,0.9419902242863617,0.05618200566038777
0.84,0.85,0.86,0.8863181860226105,0.05885070615825227,0.9291715405527865,0.05271757874019391
0.86,0.87,0.88,0.8858082887975331,0.06129309183012488,0.8078194290892614,0.04768212023988966
0.88,0.89,0.9,0.8744822225077081,0.05611705716290935,0.7994316900770275,0.04994533631278123
0.9,0.91,0.92,0.9633704033915724,0.07470518581304643,0.8650421318531945,0.057944114190277715
0.92,0.93,0.9400000000000001,0.8899117548818088,0.06722643462173143,0.861318903488899,0.05699133590971009
0.9400000000000001,0.95,0.96,0.9604228699897226,0.07712874893008152,0.8540395423652017,0.061280897184163685
0.96,0.97,0.98,0.9305787564234327,0.08024804158131507,0.8137646057997281,0.0646564588638779
0.98,0.99,1.0,0.9539471608427545,0.1097765518407963,0.7962960353420933,0.0795684376296584
