id,ra,dec,ex,ey,ez,gama,e_class,rmag,rabsmag,redshift,rad,sern,pos,ba,g_class
148,174.99212,0.77735,0.69977,0.24804,0.66993,12,0,18.8477,-19.6735,0.10927100000000001,2.0754900000000003,1.2291,-39.7676,0.4213,0
182,175.07746,0.6360600000000001,0.8711200000000001,0.31993,0.37254,12,0,18.114,-20.2181,0.100731,2.1259,1.8753,-75.0616,0.4483,0
220,175.26928999999998,0.66087,0.8264299999999999,0.41863999999999996,0.37651,12,0,19.2728,-20.1244,0.1585,2.14564,0.9277,-73.1464,0.3553,0
372,175.90996,0.69902,-0.83006,0.49451999999999996,0.25778,12,0,18.911,-19.5677,0.107296,4.69303,1.0112,84.4056,0.6632,0
477,176.65992,0.78309,-0.5201399999999999,-0.20407999999999998,0.82934,12,0,19.6175,-18.9084,0.10949600000000001,7.35922,1.475,-40.6538,0.7348,0
582,177.23686999999998,0.66113,-0.04371,0.27307,0.961,12,0,19.7758,-18.6299,0.103977,4.47095,1.0925,-28.5094,0.393,0
711,177.98004,0.72647,-0.55632,0.68548,0.46971,12,0,19.0376,-20.0582,0.13960699999999998,3.2551200000000002,0.6624,26.2545,0.7033,0
747,178.28063,0.76188,0.71324,0.36762,0.59678,12,0,19.4321,-19.9676,0.158668,2.9255,0.7466,67.0423,0.7048,0
756,178.27033,0.75647,0.60119,0.6381600000000001,0.48096000000000005,12,0,19.3815,-20.0439,0.16039,3.8497800000000004,1.5806,80.4243,0.5904,0
853,178.95396000000002,0.64513,0.44892,-0.89336,0.01964,12,0,18.647,-19.7681,0.104401,3.19307,0.588,-5.2012,0.4978,0
866,178.99613,0.7691899999999999,0.03325,0.96662,0.25403000000000003,12,0,19.1373,-19.8715,0.13455599999999998,3.62227,0.5396,-16.7715,0.1741,0
898,179.09396,0.82109,-0.95457,0.29772,0.012209999999999999,12,0,19.7444,-19.7308,0.16377,7.3588,1.4531,-24.0286,0.5258,0
935,179.32979,0.7641100000000001,-0.03245,0.8912100000000001,0.45243,12,0,19.5786,-19.4219,0.13408399999999998,1.97734,0.9106,24.1728,0.4767,0
975,179.44342,0.6647,-0.8926299999999999,-0.40896,0.18963,12,0,19.5131,-20.0473,0.169706,2.0887599999999997,1.383,67.7993,0.4099,0
980,179.38828999999998,0.8278399999999999,0.98059,0.19135,0.04278,12,0,19.4942,-20.0722,0.170127,2.49954,0.4904,5.9452,0.6095,1
